source,predicted_destination,target_path,score,action,method,reasons
51-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
54-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
54-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
54.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
55-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
55-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
55-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
55-4.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
55.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
56-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
56-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
56-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
56.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
57-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
57-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
57.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
58-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
58.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
59-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
59.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
6-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
6.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
60-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
60-2.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
60-3.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
60-4.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
60-5.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
60-6.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
60.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
61-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
61.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9-1.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9214890142980424389287 DWL Litigation Hold.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9214890142980424389294 TR Litigation Hold.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9214890142980424389300 RFK Litigation Hold.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9214890142980424389317 HHS OGC Litigation Hold.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9407111898765432922727-20260113 Google Tracking.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9407111898765432941759-20251224 Reidhead AO440.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9407111898765432941766-20251223 Governing Body AO 440.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9407111898765432941803-20251223 McCabe AO440.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9407111898765432941827-20251223 Pope AO440.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9407111898765432941841-20251223 Benjamin ao 440.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9407111898765432941858-20251223 Kathy Dill AO 440.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9407111898765432941865-20251227 Naomi Hixson.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9407111898765432941889-20251223 Candace Lee AO440.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9407111898765433085513-20260319 Certified FLRA HHS.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9414811898765430800330-20260215.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9414811898765439225097-20251229 MCCABE UPDATED.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9414811898765439582565-20260103.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9414811899561949392743.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9589071052701397990995.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9589071052701397993583.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9589071052701397993699.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9589071052701397993743.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9589071052701397993750.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
9589071052701397993767.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
[PROPOSED] ORDER DENYING EXTENSION.pdf,01_Case_Management/Court_Orders,01_Case_Management/Court_Orders/[PROPOSED] ORDER DENYING EXTENSION.pdf,75,would_move,,matched 'order'
[PROPOSED] ORDER GRANTING PLAINTIFF’S EMERGENCY MOTION FOR PRELIMINARY INJUNCTION.pdf,01_Case_Management/Court_Orders,01_Case_Management/Court_Orders/[PROPOSED] ORDER GRANTING PLAINTIFF’S EMERGENCY MOTION FOR PRELIMINARY INJUNCTION.pdf,75,would_move,,matched 'order'
[PROPOSED] ORDER GRANTING PLAINTIFF’S MOTION FOR LEAVE TO FILE THIRD AMENDED COMPLAINT.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/[PROPOSED] ORDER GRANTING PLAINTIFF’S MOTION FOR LEAVE TO FILE THIRD AMENDED COMPLAINT.pdf,160,would_move,,matched 'complaint' | matched 'amended complaint'
[PROPOSED] ORDER GRANTING PLAINTIFF’S MOTION FOR LEAVE TO SERVE THIRD-PARTY SUBPOENA PRIOR TO RULE 26(f) CONFERENCE.pdf,03_Discovery/Subpoenas,03_Discovery/Subpoenas/[PROPOSED] ORDER GRANTING PLAINTIFF’S MOTION FOR LEAVE TO SERVE THIRD-PARTY SUBPOENA PRIOR TO RULE 26(f) CONFERENCE.pdf,90,would_move,,matched 'subpoena'
[PROPOSED] ORDER OF DEFAULT.pdf,01_Case_Management/Court_Orders,01_Case_Management/Court_Orders/[PROPOSED] ORDER OF DEFAULT.pdf,75,would_move,,matched 'order'
[PROPOSED] ORDER TO DOC 58.pdf,01_Case_Management/Court_Orders,01_Case_Management/Court_Orders/[PROPOSED] ORDER TO DOC 58.pdf,75,would_move,,matched 'order'
Acknowledgement and Email Chain.pdf,00_Admin/Correspondence,,65,review_only,,matched 'email chain'
adcffa45-17ed-4356-8d49-bb2abd3fd6d9 OSC Filing 123025.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Administrative+Closure+of+EEOC+Routing+No.+2023002548-1.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/Administrative+Closure+of+EEOC+Routing+No.+2023002548-1.pdf,115,would_move,,matched 'eeoc' | government-agency acronym
Affidavit of Kevin D. Turnage Exhibit 3.pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/Affidavit of Kevin D. Turnage Exhibit 3.pdf,80,would_move,,matched 'affidavit'
affidavit_religious_duty_to_work.pdf,02_Pleadings/Declarations,02_Pleadings/Declarations/affidavit_religious_duty_to_work.pdf,80,would_move,,matched 'affidavit'
Agency Acknowledgment  email 021226.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Agency Decision 0296-2023.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Alicia Email ANSOS return to work.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
ALl OSC files.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Appeal-1.pdf,10_Post_Judgment/Appeal,10_Post_Judgment/Appeal/Appeal-1.pdf,93,would_move,,path/name mentions 10_Post_Judgment/Appeal | matched 'appeal'
Appellants+Appeal-+Demonstrating+a+Continuing+Pattern+of+Retaliation+and+Harassment.pdf,10_Post_Judgment/Appeal,10_Post_Judgment/Appeal/Appellants+Appeal-+Demonstrating+a+Continuing+Pattern+of+Retaliation+and+Harassment.pdf,93,would_move,,path/name mentions 10_Post_Judgment/Appeal | matched 'appeal'
Apr 8 2025 Memo and email to Executive Leadership.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/Apr 8 2025 Memo and email to Executive Leadership.pdf,70,would_move,,matched 'memo'
April 30 2025 Compliance Memorandum to Executive Leadership.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/April 30 2025 Compliance Memorandum to Executive Leadership.pdf,140,would_move,,matched 'memorandum' | matched 'memo'
Asbestos Awareness and Control 18233131.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Attachment A - Statement of Facts.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/Attachment A - Statement of Facts.pdf,160,would_move,,matched 'fac' | matched 'tac'
ATTACHMENT A Memo For Record Stroke Alert 053025.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/ATTACHMENT A Memo For Record Stroke Alert 053025.pdf,80,would_move,,matched 'tac'
Aug 31 2022 Email Chain regarding Toni Greve.pdf,00_Admin/Correspondence,,65,review_only,,matched 'email chain'
August 25 25 First Leave Extension Invalid.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
August 29 McCabe.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
AZ ATTY 120225.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
AZ BON Memo Investigator Lunken Signed.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/AZ BON Memo Investigator Lunken Signed.pdf,70,would_move,,matched 'memo'
AZ BON Memo Investigator Lunken.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/AZ BON Memo Investigator Lunken.pdf,70,would_move,,matched 'memo'
AZ Complaint on Google 011426.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/AZ Complaint on Google 011426.pdf,80,would_move,,matched 'complaint'
AZBN - Complaint Portal.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/AZBN - Complaint Portal.pdf,80,would_move,,matched 'complaint'
AZUSATTY Email 121525.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
BE TG Complaint.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/BE TG Complaint.pdf,80,would_move,,matched 'complaint'
Binder2.pdf,04_Exhibits/Exhibit_Binders,04_Exhibits/Exhibit_Binders/Binder2.pdf,85,would_move,,matched 'binder'
Brief to DWL Relief.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/Brief to DWL Relief.pdf,70,would_move,,matched 'brief'
Brief to DWL.pdf,02_Pleadings/Briefs,02_Pleadings/Briefs/Brief to DWL.pdf,70,would_move,,matched 'brief'
build-repo-html-compat.ps1,04_Exhibits/Personnel_Records,04_Exhibits/Personnel_Records/build-repo-html-compat.ps1,85,would_move,,matched 'hr'
build_legal_tree.py,04_Exhibits/Personnel_Records,04_Exhibits/Personnel_Records/build_legal_tree.py,85,would_move,,matched 'hr'
Burlington Northern  & Santa Fe Railway Co. v White.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Case Binder 822.pdf,04_Exhibits/Exhibit_Binders,04_Exhibits/Exhibit_Binders/Case Binder 822.pdf,85,would_move,,matched 'binder'
CCC Provider List Email conversation Tonie Greve.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
CERTIFICATE OF GOOD FAITH CONSULTATION PURSUANT TO LRCiv 7.2(j).pdf,05_Legal_Authorities/Local_Rules,05_Legal_Authorities/Local_Rules/CERTIFICATE OF GOOD FAITH CONSULTATION PURSUANT TO LRCiv 7.2(j).pdf,105,would_move,,matched 'lrciv' | rules reference
Certificate of Good Faith Consultation.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Certificate of Service for Doc 18.pdf,01_Case_Management/Service,01_Case_Management/Service/Certificate of Service for Doc 18.pdf,78,would_move,,path/name mentions 01_Case_Management/Service | matched 'service'
certificate_of_service.pdf,01_Case_Management/Service,01_Case_Management/Service/certificate_of_service.pdf,78,would_move,,path/name mentions 01_Case_Management/Service | matched 'service'
Certified File Copy OSC Supplemental 09242025.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
chart note BB to CT Attach 2.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/chart note BB to CT Attach 2.pdf,80,would_move,,matched 'tac'
Chronological Legal Timeline of Compliance Suppression and Retaliation.pdf,06_Research/Chronologies,06_Research/Chronologies/Chronological Legal Timeline of Compliance Suppression and Retaliation.pdf,90,would_move,,matched 'chronological'
CLIA Complaint received.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/CLIA Complaint received.pdf,80,would_move,,matched 'complaint'
CM_ECF - azd Doc 60.pdf,01_Case_Management/Docket,01_Case_Management/Docket/CM_ECF - azd Doc 60.pdf,80,would_move,,matched 'ecf'
CM_ECF - azd Doc 64.pdf,01_Case_Management/Docket,01_Case_Management/Docket/CM_ECF - azd Doc 64.pdf,80,would_move,,matched 'ecf'
CM_ECF - azd doc 65 Notice of Errata.pdf,02_Pleadings/Notices,02_Pleadings/Notices/CM_ECF - azd doc 65 Notice of Errata.pdf,130,would_move,,matched 'notice' | matched 'notice of'
CMS Cover Letter 062525.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/CMS Cover Letter 062525.pdf,90,would_move,,matched 'cms'
CMS Regional Offices _ CMS.pdf,04_Exhibits/Government_Reports,04_Exhibits/Government_Reports/CMS Regional Offices _ CMS.pdf,90,would_move,,matched 'cms'
complaint.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/complaint.pdf,80,would_move,,matched 'complaint'
complaint_and_request_for_injunction.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/complaint_and_request_for_injunction.pdf,80,would_move,,matched 'complaint'
complaint_for_a_civil_case.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/complaint_for_a_civil_case.pdf,80,would_move,,matched 'complaint'
complaint_for_violation_of_civil_rights_non-prisoner.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/complaint_for_violation_of_civil_rights_non-prisoner.pdf,80,would_move,,matched 'complaint'
complaint_for_violations_of_fair_labor_standards.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/complaint_for_violations_of_fair_labor_standards.pdf,80,would_move,,matched 'complaint'
complaint_Redacted.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/complaint_Redacted.pdf,80,would_move,,matched 'complaint'
Complete_Policy_Governance_Briefing_Package_PIMC_Signed.pdf,04_Exhibits/Policies,04_Exhibits/Policies/Complete_Policy_Governance_Briefing_Package_PIMC_Signed.pdf,75,would_move,,matched 'policy'
Compliance Plan-History-No-Watermark.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Conferral on First Amended Complaint .pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/Conferral on First Amended Complaint .pdf,160,would_move,,matched 'complaint' | matched 'amended complaint'
Consumer Report to FTC Google 011426.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Continued Retaliation Following Protected Disclosure_signed.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Copy of Hostile Work Environment Email 03212023 to show BCC.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
CORRECTED FOURTH AMENDED COMPLAINT.pdf,02_Pleadings/Complaints,02_Pleadings/Complaints/CORRECTED FOURTH AMENDED COMPLAINT.pdf,240,would_move,,matched 'complaint' | matched 'amended complaint' | matched 'fourth amended'
Coud Nov 4 2021.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
Cover Email - Policy Override Memo.pdf,04_Exhibits/Policies,04_Exhibits/Policies/Cover Email - Policy Override Memo.pdf,75,would_move,,matched 'policy'
COVID Swabbing Rotation Email JW 01_19_23.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
CP All emails as of 06122025 copy.pdf,04_Exhibits/Emails,,8,review_only,,path/name mentions 04_Exhibits/Emails
CP All emails as of 06122025.pdf,04_Exhibits/Emails,,8,review_only,,path/name mentions 04_Exhibits/Emails
CP Transmittal Response.pdf,02_Pleadings/Responses,02_Pleadings/Responses/CP Transmittal Response.pdf,70,would_move,,matched 'response'
d69e6a88-0328-4cd2-9247-d0332ce7dd14.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
d6eed4e4-de1d-4d74-88d5-2874effe96f5.pdf,98_Needs_Review/Uncertain,,0,review_only,,no confident match
